series,代码,名称,市盈率,市净率,每股收益,每股净资产,净资产收益率,每股经营现金,每股公积金,每股未分配,股东权益比,净利润同比,主营收入同比,销售毛利率,调整每股净资,总资产,固定资产,总负债,股东权益,资本公积金,经营现金流量,投资现金流量,现金增加额,主营收入,主营利润,营业利润,利润总额,净利润,未分配利润,总股本,无限售股合计,A股,BBI,ARBR,KDJ,BOLL,OBV,BIAS,MACD,MA,PSY,WVAD,CD,MI,DMI-QLL,ABV,Z-SCORE,122日涨幅,122日振幅,122日换手,122日总量,92日涨幅,92日振幅,92日换手,92日总量,GB
1420,'002180',纳思达,-25.585,24.653,-0.862,0.865,-0.6383,-0.36,0.263,-0.151,1.77,-819.88,675.75,7.402,0.454,5114909,390110,4847591,90532,26631,-36398,44891,5964,522661,36160,-211502,-209545,-85858,-12230,101202,19281,19281,22.537,73.431,36.735,23.594,17292594,1.045,-0.848,21.998,41.667,-51689.926,-1.676,-1.47,14.766,691.733,-0.118,-0.2096,0.2725,0.3873,746684,-0.1498,0.235,0.2191,422407,-0.203
2469,'300608',思特奇,-27.491,3.444,-0.654,6.033,-0.1361,-0.819,3.369,1.335,60.797,5.4,7.21,-2.671,5.998,90300,1937,35401,54900,31553,-7182,-22,16560,6291,-225,-5803,-5755,-5730,13722,8765,2191,2191,30.323,63.669,10.905,32.413,-25435.299,-3.15,-1.405,28.65,33.333,-19827.85,-2.314,-5.42,14.874,-0.964,1.674,-0.5047,0.5698,5.0941,1116191.38,-0.2717,0.3335,2.6304,576365.25,-0.425
2475,'300616',尚品宅配,-224.324,6.374,-0.57,20.059,-0.0574,-1.365,12.843,5.937,64.772,23.04,27.65,44.223,19.442,334465,71475,117825,216640,138706,-14742,-24585,98003,79377,34203,-5659,-5721,-4657,64124,10800,2700,2700,131.807,88.288,37.453,135.057,-322245,0.188,-1.169,128.356,41.667,-4539.105,-0.317,-8.69,12.265,-12.903,1.928,-0.294,0.4471,4.7354,1278551,-0.0978,0.1791,1.7273,466359,-0.171
580,'600793',宜宾纸业,-83.542,1048.865,-0.468,0.0373,-1.7251,-0.748,1.001,-1.998,0.111,-303.92,88.63,0.772,-0.304,352810,201361,352417,393,10537,-7871,6362,-38,22694,-16,-5047,-4930,-4931,-21041,10530,10530,10530,39.666,71.028,56.776,40.42,8227716,0.796,0.091,38.952,58.333,-12896.417,0.473,-1.44,22.638,329.109,-0.653,-0.0669,0.4343,1.4328,1508718,0.3873,0.5336,0.8101,853037,-0.062
1530,'002309',中利集团,-34.565,1.594,-0.39,8.358,-0.0452,-0.562,5.197,1.996,22.287,-2357.37,11.84,11.703,8.317,2434153,365735,1871658,542510,333342,-36062,-20428,86266,291946,32869,-26526,-26013,-25096,134417,64141,35181,35181,13.331,131.618,86.486,12.809,16611929,0.505,0.32,13.552,66.667,152187.844,0.556,0.77,24.116,664.808,0.526,-0.0286,0.1786,0.6593,2319398,0.0551,0.1815,0.4961,1745321,0.006
939,'000410',*ST沈机,-23.874,16.339,-0.35,0.511,-0.5088,0.0922,1.628,-2.298,1.587,-114.62,-46.06,25.076,0.478,2466768,287433,2411337,39143,124626,7059,-3210,-19565,88386,21469,-27781,-26997,-26710,-175872,76547,74034,74034,8.212,156.8,61.923,7.719,107982168,0.918,0.299,8.342,50,136410.688,0.809,0.9,33.573,4320.629,-0.065,-0.291,0.4853,1.1785,8725083,-0.0726,0.3564,0.8907,6594232,-0.253
932,'000401',冀东水泥,-56.656,2.164,-0.274,7.167,-0.0417,-0.0544,3.652,1.64,23.442,54.17,22.13,21.381,6.853,4119965,2293908,3040749,965794,492175,-7327,71069,49608,175861,33924,-47503,-45095,-36892,220971,134752,134715,134715,15.712,116.437,31.78,15.875,84474016,1.35,-0.249,15.272,66.667,1402268.5,-1.347,-0.53,28.384,3373.61,-0.036,0.1099,0.9667,4.7678,64230020,-0.2275,0.387,3.9725,53515548,0.111
1468,'002234',民和股份,-66.331,5.247,-0.25,3.16,-0.0764,-0.175,2.853,-1.085,43.111,-209.55,-23.59,-11.166,2.822,221426,99622,125967,95459,86188,-5281,-7349,-6352,22062,-2625,-7723,-7585,-7586,-32779,30205,20615,20615,15.569,164.682,87.308,14.027,16825986,4.28,0.976,16.164,41.667,758465.438,3.672,2.42,27.607,675.934,0.127,-0.1143,0.4823,3.3637,6934247,0.1176,0.4562,2.8119,5796733,-0.041
137,'600189',吉林森工,-34.072,1.906,-0.24,4.29,-0.05,-0.443,2.349,0.34,33.905,-178.88,-64.31,16.461,4.286,392843,37462,258570,133194,72939,-13768,23414,8598,3474,495,-7587,-7534,-7426,10561,31050,31050,31050,8.787,96.324,12.946,9.507,40899264,-2.038,-0.33,8.304,41.667,464410.656,-1.186,-1.71,10.954,1635.314,0.188,-0.3032,0.3285,1.8288,5678383,-0.111,0.3233,1.4971,4648407,-0.224
1868,'002713',东易日盛,-82.14,4.824,-0.23,3.916,-0.0579,0.409,1.865,0.946,36.744,5.49,31.21,31.928,3.827,270434,28715,162896,99369,47335,10388,-73518,-69791,53373,16640,-4956,-4952,-5873,24009,25375,7413,7413,19.711,82.088,22.555,20.257,3618008,-1.744,-0.424,19.122,33.333,-3563.061,-1.606,-1.56,15.63,144.774,0.666,-0.2714,0.3677,1.7935,1329600,-0.1988,0.272,1.024,759099,-0.254
1431,'002194',武汉凡谷,-34.1,2.345,-0.228,3.31,-0.0665,-0.517,1.462,0.503,77.938,-1229.33,-22.75,-19.96,3.257,239826,47236,52911,186915,82533,-29178,-1916,-31166,33741,-7115,-12722,-12445,-12852,28412,56467,52071,52071,8.281,71.884,14.957,8.767,15548733,-3.174,-0.306,7.97,41.667,-74836.828,-1.871,-1.03,15.526,621.446,2.86,-0.3839,0.4028,0.5652,2943138,-0.2435,0.2802,0.3991,2077978,-0.294
2424,'300551',古鳌科技,-142.544,4.405,-0.21,6.736,-0.0328,-0.696,3.127,2.34,75.577,-22.2,3.29,43.03,6.736,65968,7914,16113,49857,22942,-5108,-2144,-7308,1561,664,-1717,-1544,-1544,17603,7336,1836,1836,32.905,68.43,8.7,35.857,-41343,-3.55,-1.994,30.622,25,-15990.035,-2.824,-7.89,12.701,-1.609,2.931,-0.514,0.5732,3.3256,610573,-0.3236,0.406,2.0269,372130,-0.453
2428,'300556',丝路视觉,-121.068,7.266,-0.21,3.259,-0.0583,-0.193,1.667,0.48,73.1,-35.59,49.37,10.245,3.132,53200,2573,12278,38889,18522,-2146,-4727,-7633,6291,608,-3480,-3431,-2334,8004,11113,2780,2780,28.508,92.363,8.238,31.768,212369,-4.794,-2.109,26.17,16.667,-62579.625,-3.17,-8.41,4.382,8.341,2.696,-0.5468,0.6276,5.6119,1560105,-0.2916,0.4573,3.6004,1000901,-0.462
665,'600896',览海投资,-40.734,3.41,-0.21,2.509,-0.0813,-0.208,2.097,-0.746,50.33,-263.35,-95.27,95.274,2.497,433211,512,184892,218035,182229,-18040,-231,-23273,746,706,-18795,-18795,-18621,-64847,86910,57713,57713,8.29,62.606,48.515,8.501,72074784,5.781,-0.144,8.142,16.667,-53929.344,-0.689,-0.03,42.367,2882.08,0.933,-0.1765,0.3445,0.4091,2360993,-0.1256,0.2503,0.241,1390769,-0.195
198,'600268',国电南自,-27.659,2.097,-0.21,2.75,-0.0718,-0.888,1.515,-0.0674,16.269,-13.68,-3.26,15.153,2.746,1081543,126221,836522,175960,96220,-56409,-51,-73736,60729,8720,-15993,-13995,-13111,-3012,63525,63525,63525,5.964,51.316,26.295,6.145,46620616,-0.17,-0.122,5.832,41.667,-97772.539,-1.248,-0.36,21.752,1864.142,0.066,-0.2888,0.3823,0.7293,4632892,-0.2197,0.2597,0.4651,2954257,-0.276
1215,'000918',嘉凯城,-35.237,4.682,-0.2,1.505,-0.125,1.341,-0.499,0.513,8.084,-50.38,-76.73,7.67,1.488,3359597,32058,2995099,271588,-90072,241918,159,8414,19113,734,-36334,-37932,-36211,92639,180419,180419,180419,7.185,108.823,38.913,7.425,32293476,1.523,-0.129,6.98,33.333,-70192.992,-0.74,-0.52,20.357,1292.338,0.16,-0.1233,0.3083,0.526,9489543,-0.109,0.2005,0.3429,6186614,-0.093
1231,'000948',南天信息,-58.605,1.911,-0.185,5.63,-0.0321,-1.726,3.275,1.048,58.242,8.15,-3.99,27.363,5.623,240515,24921,99813,140081,80763,-42557,569,-46289,27456,7396,-4519,-4409,-4568,27067,24661,24649,24649,11.432,89.014,15.32,12.026,26577802,-0.68,-0.355,10.894,33.333,-15374.941,-1.566,-2.13,12.227,1063.313,1.375,-0.3615,0.3866,1.1254,2774006,-0.2031,0.2365,0.8191,2018947,-0.302
386,'600536',中国软件,-94.219,4.246,-0.18,3.931,-0.0439,-1.818,1.972,0.918,36.035,-102.04,15.34,31.965,3.915,548172,59441,273631,197531,97524,-89903,-4251,-75131,82690,25816,-18252,-16054,-8872,48493,49456,49456,49456,17.826,70.494,16.464,18.798,35192296,-0.677,-0.67,16.958,33.333,-56879.352,-1.941,-2.89,16.06,1407.454,1.045,-0.3072,0.3554,1.0139,5014500,-0.2534,0.3503,0.7916,3914938,-0.274
186,'600250',南纺股份,-74.175,12.775,-0.18,1.045,-0.1505,-0.179,0.765,-0.915,16.804,-122.1,-26.71,5.072,1.042,160880,7238,138273,27035,19795,-4630,-2,-8436,14371,714,-4683,-4675,-4647,-23665,25869,25869,25869,13.72,122.994,35.122,14.089,24139278,-0.185,-0.006,13.276,50,9678.326,0.778,-0.28,23.498,965.848,-0.581,-0.0917,0.3102,0.7194,1861039,0.105,0.3659,0.4681,1210980,0.027
1176,'000852',石化机械,-68.833,4.615,-0.18,2.685,-0.0649,-0.451,1.584,-0.217,24.428,-13.79,-13.17,6.618,2.649,657349,126491,485077,160580,94718,-26991,-245,252,57795,3038,-11223,-10679,-10753,-12984,59816,59816,59816,12.852,97.494,23.235,14.258,46312908,3.263,-0.872,11.924,33.333,-121465.047,-2.139,-2.43,20.649,1847.275,0.25,0.013,0.8266,4.9278,29476032,0.0246,0.8361,4.5872,27438800,-0.033
1221,'000927',一汽夏利,-27.19,5.045,-0.167,0.898,-0.1698,-0.306,0.84,-1.288,29.843,-59.29,-37.46,-43.817,0.895,479955,127058,333762,143234,133981,-48857,84,-811,35002,-16415,-26857,-26580,-26583,-205426,159517,159517,159517,4.793,106.863,19.913,5.051,70910312,-1.791,-0.163,4.576,33.333,-243744.5,-1.783,-0.79,11.781,2837.236,-0.617,-0.4018,0.5353,0.7919,12631881,-0.3782,0.4245,0.5356,8544431,-0.418
522,'600720',祁连山  ,-62.763,1.591,-0.155,6.063,-0.0251,0.216,1.725,2.534,44.355,37.34,43.43,8.225,6.006,1072585,640197,531683,475747,133916,16752,-2873,11633,57597,4232,-14568,-13957,-12064,201732,77629,77616,77616,9.25,174.483,76.209,8.392,139921200,3.109,0.517,9.575,66.667,1891738,1.893,1.885,41.41,5601.714,0.728,-0.0423,0.4555,3.3073,25670016,0.1013,0.38,1.9211,14911149,0.014
1187,'000877',天山股份,-90.265,2.029,-0.15,6.636,-0.0231,-0.109,3.503,1.564,30.746,29.72,46.99,17.472,6.475,1909902,1334488,1233559,587212,308310,-9635,-424,32749,58498,9330,-16825,-16316,-13419,140849,88010,88003,88003,13.572,150.601,53.605,13.377,117894712,1.26,0.236,13.43,41.667,15897.551,0.542,-0.18,26.44,4721.408,0.063,-0.1274,0.5516,7.6891,67666776,-0.089,0.5211,5.0927,44817168,-0.107
145,'600198',大唐电信,-88.5,5.361,-0.148,2.45,-0.0588,-0.193,4.188,-2.798,17.602,13.44,-18.69,14.575,2.422,1227569,77555,987212,216081,369390,-17030,-2971,-7477,155010,22216,-13447,-12423,-13094,-246817,88211,87020,87020,12.828,123.384,44.603,12.887,53124780,4.647,-0.114,12.588,50,533938.25,-0.986,0.21,36.922,2122.136,-0.066,-0.216,0.3982,1.4131,12296532,-0.2319,0.3901,1.1174,9723327,-0.175
1139,'000791',甘肃电投,-60.102,1.699,-0.141,4.985,-0.0279,0.218,3.504,0.391,26.052,28.32,2.46,-1.026,4.985,1865552,1555230,1364425,486007,340271,21192,-4187,-5400,23363,-412,-14503,-14609,-13738,39907,97113,97109,97109,8.515,110,44.093,8.613,35460844,2.224,-0.088,8.372,33.333,-229924.484,-0.914,-0.18,34.758,1419.346,0.189,-0.25,0.4222,1.0263,9966085,-0.1454,0.2719,0.5987,5813754,-0.303
983,'000537',广宇发展,-53.666,1.73,-0.14,4.284,-0.0311,1.775,0.169,2.983,11.642,-212.5,-64.02,-1.471,4.282,1913102,375,1597693,222729,8667,91022,,67150,17015,-1009,-12496,-12490,-7031,155996,51272,51245,51272,7.613,69.498,29.15,7.927,99942208,2.479,-0.191,7.34,58.333,-147484.109,-1.033,-0.54,26.186,3997.184,0.692,-0.2495,0.3822,1.7706,9078216,-0.1367,0.2084,0.7974,4088424,-0.227
544,'600749',西藏旅游,-120.044,6.139,-0.139,2.714,-0.0499,0.0064,2.326,-0.641,38.603,9.36,80.89,-78.475,2.658,132986,60419,81861,51336,43988,121,-2781,-798,757,-597,-2677,-2677,-2626,-12130,18914,18914,18914,17.493,88.931,25.13,17.849,27041748,-3.649,-0.177,17.158,41.667,26521.635,-0.847,-1.38,14.096,1081.591,0.13,-0.1953,0.3035,0.9226,1744903,-0.0322,0.2453,0.6113,1156242,-0.188
2323,'300407',凯发电气,-123.29,4.978,-0.133,3.158,-0.041,-0.426,0.447,1.549,45.446,-703.03,340.53,16.535,3.158,192716,17383,104304,87582,12316,-11724,-1142,1958,25116,4105,-3692,-3647,-3667,43249,27550,13557,13557,17.088,86.933,21.286,19.21,5498284,1.02,-1.287,15.812,41.667,-110450.086,-2.261,-3.359,22.61,219.275,1.419,-0.1207,0.5389,10.3925,14089317,-0.1154,0.5421,8.7459,11856888,-0.056
1962,'002830',名雕股份,-72.358,2.274,-0.132,4.011,-0.0314,-0.184,1.174,1.626,60.692,4.11,8.34,13.75,3.881,90870,10125,35719,55150,22321,-2460,-836,-3296,10018,1302,-2437,-2343,-1757,23349,13334,3334,3334,21.558,82.952,6.451,24.835,1185161,-4.472,-2.416,19.118,33.333,-263330.906,-4.122,-7.16,3.242,47.154,1.757,-0.4995,0.5833,11.7507,3917699,-0.3848,0.5094,8.9281,2976631,-0.421
1523,'002302',西部建设,-167.894,5.427,-0.13,3.957,-0.0311,-1.413,1.021,1.832,30.46,-265.05,19.34,2.628,3.93,1362847,230380,911771,415129,105425,-145836,-7727,-158327,227727,4773,-14164,-13796,-13104,195781,103223,103223,103223,22.045,166.53,51.021,22.129,40253844,2.423,0.469,21.428,33.333,449312.219,1.955,-1.87,31.627,1613.996,0.797,0.7939,1.1389,5.0354,51976856,-0.0531,0.4984,3.2153,33189502,0.096
1495,'002268',卫 士 通,-57.739,1.761,-0.122,4.799,-0.0709,-0.304,3.05,0.692,81.481,-137.71,-32.11,28.995,4.796,496982,26319,84078,404945,287120,-25470,-320,136660,11915,3423,-13670,-12934,-10195,60634,83834,55141,55141,15.201,89.086,12.849,16.508,34679752,-6.778,-0.866,14.366,25,-133834.422,-2.822,-3.08,5.021,1387.532,3.625,-0.3548,0.4105,0.8927,4922640.5,-0.2898,0.4105,0.6266,3455032.25,-0.328
323,'600449',宁夏建材,-100.029,1.378,-0.12,8.674,-0.0139,0.433,4.253,3.025,52.896,36.18,98.14,14.149,8.656,787741,450978,344321,416683,203367,20721,-1138,5485,52926,6480,-5756,-5542,-5826,146568,47818,47818,47818,11.278,142.353,82.948,10.344,44227664,4.743,0.531,11.578,66.667,1593260.25,1.393,2.31,40.036,1771.796,1.02,-0.1141,0.4755,3.1519,15071980,0.0117,0.3091,1.8239,8721777,-0.063
1241,'000962',东方钽业,-82.988,3.044,-0.119,3.25,-0.0359,0.17,2.717,-1.035,56.069,27.37,28.76,-0.694,3.25,255532,118363,111850,143275,119767,7506,-29,-13576,23873,-720,-5390,-5251,-5255,-45629,44083,44083,44083,9.843,196.178,63.716,9.406,62644760,0.352,0.286,9.908,66.667,352341.656,0.777,0.73,29.418,2506.561,0.595,-0.1697,0.3361,0.9405,4145811,0.0385,0.2539,0.6064,2673393,-0.12
897,'000043',中航地产,-92.293,1.763,-0.115,5.935,-0.0189,0.85,0.822,3.641,20.221,51.16,-14.11,22.319,5.878,1980570,62687,1518346,400493,54833,56705,78286,-13863,101036,18956,-6042,-5861,-7653,247530,66696,66678,66678,10.592,166.4,48.647,10.273,74987480,0.644,0.242,10.51,66.667,336663.375,0.703,-0.22,25.119,2999.919,0.567,-0.1345,0.393,0.8826,5884706,-0.0439,0.2784,0.5961,3974874,-0.125
588,'600802',福建水泥,-91.208,5.713,-0.114,1.806,-0.0607,-0.27,0.56,-0.796,16.359,45.04,69.06,7.299,1.533,424147,248194,300651,69386,21390,-10410,-782,-13991,35532,1813,-6028,-5776,-4354,-29976,38187,38187,38187,9.796,200.728,76.76,9.173,89437664,5.233,0.371,9.968,66.667,1287427.375,1.073,1.76,33.783,3572.567,-0.577,-0.1855,0.6025,4.6436,17732672,-0.0463,0.37,2.6639,10172823,-0.084
2088,'300125',易世达,-233.653,2.97,-0.11,8.653,-0.0121,-0.0774,6.875,0.571,60.526,-0.02,-19.7,24.16,8.646,168693,57864,64771,102104,81123,-914,-1957,-3613,1857,410,-1214,-1273,-1242,6736,11800,9049,9049,25.911,89.29,50.322,26.006,3204202,0.903,-0.069,25.512,58.333,16436.965,-0.452,-0.05,20.5,128.139,1.428,-0.0824,0.1684,0.6135,555162,-0.0252,0.1271,0.3506,317237,-0.036
422,'600588',用友网络,-155.799,4.533,-0.11,3.781,-0.0296,-0.438,1.639,0.805,42.398,22.92,26.48,61.379,3.77,1305768,192685,679006,553620,239939,-64208,-104180,-20761,74666,44876,-25740,-16874,-16703,117868,146422,144104,146037,16.522,125.656,59.396,16.672,60326184,6.052,0.04,16.318,50,95233.625,0.561,0.34,45.654,2411.475,0.786,-0.0744,0.2607,0.397,5798009,-0.0536,0.2518,0.3176,4638014,-0.03
814,'601808',中海油服,-99.48,1.507,-0.11,7.214,-0.016,0.0412,2.593,3.074,43.594,41.21,-9.4,-5.007,7.072,7950294,5091419,4474358,3465827,1237174,19644,-88499,55681,305774,-15591,-51809,-50624,-54478,1490567,477159,477159,296047,10.928,89.706,50.202,11.045,37600624,1.58,-0.121,10.826,50,-4177.746,-0.912,-0.13,37.688,1504.905,0.816,-0.1395,0.2689,0.2875,8512312,-0.0644,0.2924,0.2592,7673251,-0.133
1270,'001896',豫能控股,-59.346,1.219,-0.11,5.376,-0.0213,0.0816,4.341,-0.0887,33.178,-183.21,21.83,-2.803,5.376,1864448,1346211,1144583,618590,499434,9391,-32521,82288,170223,-5886,-17855,-15529,-11888,-10201,115059,66192,66192,6.705,74.274,33.64,6.907,24748524,0.685,-0.144,6.482,41.667,-91321.93,-1.458,-0.45,20.821,989.941,0.305,-0.4374,0.5209,1.4947,9893513,-0.2269,0.2795,0.8741,5785747,-0.451
2353,'300449',汉邦高科,-242.574,5.901,-0.107,4.502,-0.0234,-0.819,2.093,1.561,69.878,-23.14,6.12,17.43,4.496,92758,679,27940,64817,29997,-11739,-752,-10431,6222,1059,-1657,-1530,-1532,22676,14329,8439,8439,26.299,144.388,64.352,25.66,714262,0.994,0.374,26.444,58.333,55516.672,-0.151,1.75,29.64,28.889,2.453,-0.2976,0.4644,1.9342,1632187,-0.0106,0.2908,1.4162,1195035,-0.177
425,'600593',大连圣亚,-229.137,5.556,-0.103,4.06,-0.024,-0.13,2.149,0.666,40.347,1.39,8.09,31.984,3.43,97148,21537,37855,39196,19776,-1200,-1160,-3716,4446,1321,-1148,-1025,-951,7971,9200,9200,9200,24.926,60.418,25.414,26.405,10767293,-0.278,-0.967,23.738,41.667,-16506.988,-1.911,-2.94,30.405,430.828,0.967,-0.3429,0.4031,0.6701,616471,-0.2,0.2469,0.4164,383088,-0.297
1441,'002205',国统股份,-226.322,2.946,-0.101,7.782,-0.0498,-0.794,4.497,1.982,43.419,7.27,306.1,12.953,7.41,208188,39026,113124,90394,52237,-9225,-884,-5737,4718,409,-1398,-1313,-1177,23024,11615,11615,11615,25.034,49.255,20.825,27.071,12224126,-4.704,-1.325,23.826,33.333,-179931.328,-2.422,-4.52,9.293,488.81,0.676,-0.2819,0.4641,4.5316,5263588,-0.1801,0.4045,2.9204,3392090,-0.213
540,'600744',华银电力,-50.849,2.287,-0.1,2.224,-0.0456,0.157,2.744,-1.598,20.709,-997.48,37.54,-0.496,2.22,1912673,1167434,1523486,396088,488819,28041,-15424,16620,193306,-3423,-18155,-18042,-18176,-284660,178112,82763,82763,4.854,104.38,47.604,4.947,92130296,6.986,-0.066,4.768,50,116699.609,-0.494,0.09,45.236,3680.698,-0.068,-0.0097,0.3958,2.6768,22153980,-0.0968,0.2218,1.2771,10569709,-0.176
1140,'000792',盐湖股份,-72.41,0.805,-0.095,8.693,-0.011,-0.17,3.402,3.028,29.062,-284.2,-3.87,3.918,8.691,8346367,3605392,5736806,2425662,1040690,-47369,-73977,37618,168047,-3851,-23293,-22382,-26465,847323,278609,274989,274989,10.415,213.58,56.146,10.418,62810124,3.786,0.054,10.134,50,1056381.25,0.29,0.03,35.839,2512.405,0.292,-0.1391,0.288,0.4551,12514260,-0.0427,0.1746,0.3331,9160497,-0.143
643,'600871',石化油服,-32.762,6.134,-0.095,0.507,-0.1731,-0.0928,0.629,-1.154,10.133,20.17,3.58,-4.393,0.316,7081766,2799652,6364300,717594,889723,-131217,-9783,12687,881525,-46584,-128965,-127291,-134537,-1631892,1414266,491833,281833,3.196,60.185,28.583,3.315,107773696,-0.106,-0.09,3.13,16.667,-476735.031,-1.399,-0.16,21.746,4315.619,-0.599,-0.1715,0.2823,1.872,52758900,-0.135,0.2948,1.6956,47788788,-0.151
229,'600310',桂东电力,-68.04,2.166,-0.0944,2.885,-0.0298,-0.302,0.331,0.0684,21.887,-550.05,64.73,4.073,2.875,1121477,290549,838076,245454,27433,-24995,-19969,-18049,173810,6507,-7520,-7477,-7818,12287,82778,82778,82778,6.573,73.361,45.942,6.782,43959460,0.18,-0.135,6.42,41.667,-110989.297,-1.229,-0.34,30.778,1759.27,0.367,-0.2678,0.3266,0.6046,5004979,-0.2295,0.2973,0.3825,3166107,-0.268
2404,'300523',辰安科技,-215.149,3.743,-0.0919,5.318,-0.0168,-0.75,2.803,1.428,68.311,-566.33,-56.55,62.834,5.316,114447,12651,31992,78180,46765,-10806,-26259,-37184,2879,1796,-1794,-1516,-1324,22162,14400,3600,3600,38.577,71.003,13.589,39.966,-2464.412,-3.217,-0.891,37.508,50,-31394.297,-1.558,-3.88,20.737,-0.135,2.434,-0.3392,0.4089,2.4846,894462.69,-0.1673,0.244,1.4723,530038.19,-0.274
2405,'300525',博思软件,-421.811,6.213,-0.09,6.11,-0.0141,-0.501,2.856,2.049,92.37,-452.36,0.79,59.562,6.11,45071,12034,2819,41632,19460,-3411,-145,-3689,2353,1362,-737,-705,-591,13964,7203,1710,1710,41.772,65.422,16.823,45.463,-47820,-4.002,-2.554,38.97,16.667,-18217.613,-2.934,-11.07,8.478,-1.88,9.982,-0.535,0.5663,2.3477,401450,-0.3617,0.4082,1.7055,291644,-0.516
492,'600686',金龙汽车,-130.178,2.025,-0.09,5.787,-0.015,0.0182,1.863,1.641,15.364,-194.54,-62.01,10.254,5.676,2285295,187734,1851579,351115,113023,1105,-43898,-17847,231753,21277,-11616,-10669,-5322,99546,60674,44260,44260,12.112,65.48,28.14,12.429,56013300,-1.088,-0.126,11.854,16.667,155836.094,-0.476,-1.15,16.303,2240.953,0.5,-0.2649,0.4017,1.1056,4893374,-0.0729,0.2965,0.7543,3338479,-0.202
1767,'002583',海能达,-180.068,6.13,-0.0897,2.606,-0.0334,-0.245,1.144,0.401,62.44,-119.79,45.16,47.89,2.577,738566,120699,277406,461160,199759,-42722,-60516,-7711,49677,22385,-19197,-17507,-15665,76174,174582,85712,85712,16.098,127.011,64.139,15.828,30038808,1.89,0.247,16.078,41.667,246208.984,0.736,-0.18,23.603,1201.152,1.466,0.2018,0.2488,0.9012,7724769,0.1708,0.2266,0.6303,5402804,0.115
2012,'300029',天龙光电,-94.976,9.532,-0.0861,0.858,-0.0955,-0.159,4.173,-4.442,28.163,-1.67,-61.83,22.725,0.824,60923,13685,42633,17158,83450,-3179,-25,-3343,1661,335,-1855,-1846,-1721,-88849,20000,19346,19346,8.596,93.187,22.41,9.01,13613256,-0.722,-0.295,8.186,50,1100.79,-2.017,-1.11,16.256,544.338,-1.862,-0.3982,0.4303,1.1159,2158712,-0.229,0.3449,0.8271,1600095,-0.336
326,'600456',宝钛股份,-223.99,2.397,-0.0843,7.828,-0.0106,-0.482,5.51,0.903,47.44,27.09,57.7,11.927,7.828,714479,243052,344778,338947,237072,-20736,-308,-10406,55874,5871,-3513,-3373,-3627,41020,43027,43027,43027,19.98,122.441,24.466,20.35,32555610,-2.466,-0.074,19.292,41.667,110404.328,-0.443,-1.29,21.024,1302.821,1.103,-0.2013,0.4143,1.3882,5972968,-0.0802,0.3752,0.9222,3967740,-0.193
406,'600569',安阳钢铁,-35.99,1.56,-0.084,1.938,-0.0424,0.721,1.446,-1.255,14.335,-15.38,11.33,6.311,1.938,3235726,1375495,2702820,463831,346191,172570,-10265,5506,548825,30223,-20710,-20520,-20060,-300394,239368,239368,239368,2.999,133.663,78.579,2.901,127742760,1.441,0.065,3.008,50,1220688.5,0.569,0.13,20.561,5111.486,-0.249,-0.0923,0.3036,0.6554,15687433,0.0033,0.1809,0.4088,9785605,-0.098
1112,'000736',中房地产,-168.625,2.867,-0.082,4.803,-0.0169,2.994,0.847,2.804,6.623,-337.29,24.62,11.815,4.747,2164014,4927,1919235,143327,25179,88989,-182117,203164,20426,2114,-3885,-3840,-2450,83924,29719,29719,29719,14.112,76.627,51.898,14.609,12020565,1.221,-0.359,13.804,25,-21945.426,-1.592,-0.97,18.247,481.063,0.671,-0.3121,0.7337,2.0334,6043226,-0.3042,0.7421,1.4392,4277173,-0.333
1512,'002289',宇顺电子,-94.74,3.757,-0.0814,2.054,-0.0389,0.0213,6.085,-5.087,47.427,48.69,-66.97,2.562,2.012,121385,42251,63296,57569,179870,597,23,-20767,10311,153,-2554,-2376,-2282,-142576,28025,25168,24190,12.13,126.105,27.326,12.218,9559550,-2.721,-0.059,11.914,41.667,37456.793,-1.011,-0.66,11.336,383.104,-0.933,-0.2654,0.3937,1.128,2728611,-0.1697,0.354,0.9375,2267722.5,-0.216
1960,'002828',贝肯能源,-285.713,3.227,-0.08,6.957,-0.0107,0.384,2.816,2.445,85.7,15.74,32.98,20.872,6.949,96857,26569,13719,83006,32999,4503,-3888,-8261,461,89,-894,-871,-891,30126,11720,2930,2930,24.721,87.951,15.499,26.217,-50495,-3.957,-1.013,23.642,25,-21561.371,-2.373,-4.46,11.927,-2.107,4.655,-0.5179,0.5773,7.1125,2083975,-0.2815,0.3616,4.1193,1206961,-0.426
2352,'300448',浩云科技,-277.784,6.813,-0.08,3.175,-0.0241,-0.373,1.273,0.897,75.481,-6.99,-14.08,31.671,3.161,87426,10636,19075,65990,25764,-7541,-11185,-16934,7033,2202,-1864,-1790,-1607,19922,20247,8049,7298,23.16,92.841,31.812,23.902,1209682.125,-1.932,-0.315,22.578,41.667,21685.625,-0.754,-1.81,12.992,48.33,2.799,-0.2208,0.2805,1.4031,1023923,0.018,0.1992,1.0223,746026,-0.144
