series,代码,名称,市盈率,市净率,每股收益,每股净资产,净资产收益率,每股经营现金,每股公积金,每股未分配,股东权益比,净利润同比,主营收入同比,销售毛利率,调整每股净资,总资产,固定资产,总负债,股东权益,资本公积金,经营现金流量,投资现金流量,现金增加额,主营收入,主营利润,营业利润,利润总额,净利润,未分配利润,总股本,无限售股合计,A股,BBI,ARBR,KDJ,BOLL,OBV,BIAS,MACD,MA,PSY,WVAD,CD,MI,DMI-QLL,ABV,Z-SCORE,122日涨幅,122日振幅,122日换手,122日总量,92日涨幅,92日振幅,92日换手,92日总量,GB
1770,'002587',奥拓电子,321.149,2.832,0.0149,1.635,0.0092,-0.0964,0.297,0.319,77.85,238,180.17,38.463,1.635,133621,15577,29163,104023,38532,-5896,-6408,1581,15029,5494,896,1200,910,23567,61139,36556,36556,7.303,82.353,66.963,7.394,32629016,0.737,-0.075,7.21,33.333,-33466.996,-0.876,-0.22,14.254,1304.572,3.049,-0.2099,0.2738,0.9898,3618344.5,-0.1153,0.2249,0.6553,2395546,-0.172
566,'600776',东方通信,426.416,2.662,0.0149,2.326,0.0063,-0.182,0.714,0.53,80.084,11.22,-27.51,17.527,2.326,374272,20081,70550,299733,89667,-22858,10092,-14283,44084,7339,2026,2170,1874,74140,125600,125600,95600,6.546,77.459,30.521,6.718,84531216,-0.182,-0.106,6.35,41.667,26778.166,-1.04,-0.67,14.863,3381.037,3.624,-0.2277,0.2663,0.4182,3997878,-0.1303,0.1832,0.3201,3060185,-0.188
348,'600493',凤竹纺织,688.518,4.015,0.0149,2.485,0.0058,-0.0689,0.702,0.469,72.725,40.94,21.06,12.496,2.485,95555,30257,26062,69493,19093,-1873,-976,-3911,16198,1925,331,566,405,14650,27200,27200,27200,10.714,97.978,31.217,10.763,36709316,-2.984,-0.008,10.516,41.667,183586,-0.824,-0.68,17.186,1468.04,2.172,-0.3105,0.4264,1.0335,2811064,-0.1693,0.2745,0.8004,2177212,-0.275
850,'603002',宏昌电子,335.686,2.974,0.015,1.671,0.0092,0.0334,0.157,0.441,65.993,13.74,21.66,11.741,1.671,157633,6946,53606,104027,9676,2054,-7605,-5439,25093,2892,898,1141,952,28450,61441,60558,60558,5.268,74.546,47.069,5.289,32738776,-3.299,-0.032,5.232,50,-6456.945,-0.961,-0.17,8.693,1311.048,1.975,-0.2505,0.2977,0.6118,3705111,-0.1502,0.1837,0.3471,2101780,-0.203
1558,'002342',巨力索具,553.75,3.277,0.015,2.531,0.0058,0.0228,0.701,0.705,59.021,26.93,-8.6,19.176,2.531,412300,143148,168956,243344,67299,2193,6806,10747,32716,6037,315,1620,1412,68030,96000,86561,86561,9.029,56.777,11.226,10.048,48398592,-2.119,-0.682,8.392,33.333,-1541729.75,-2.661,-1.97,6.858,1931.205,1.361,0.0089,0.7573,7.9315,68656192,-0.1931,0.4743,6.9094,59808532,0.069
1374,'002125',湘潭电化,759.92,3.719,0.015,3.065,0.005,-0.0305,1.997,0.0196,46.069,2659.03,39.72,25.236,3.061,229948,92833,120674,105935,69003,-1055,-3800,3003,14681,3427,500,703,526,678,34560,22261,22261,11.214,162.31,74.199,10.684,20711558,0.862,0.332,11.426,58.333,441443.719,0.739,0.95,25.217,829.422,0.556,-0.0807,0.311,2.99,6656028,0.0952,0.3705,2.5626,5704510,-0.043
2198,'300256',星星科技,603.253,1.748,0.0151,5.212,0.0029,-0.259,3.979,0.217,42.715,7.47,39.33,11.818,4.877,790863,153893,447763,337815,257855,-16790,-4022,-4614,144615,16420,1174,1888,978,14038,64811,37882,37882,9.666,83.459,14.082,10.198,13758313,-1.781,-0.316,9.204,41.667,-86811.375,-1.566,-1.46,9.345,550.796,0.652,-0.2461,0.2691,1.8832,7134034,-0.1387,0.2165,1.4982,5675498,-0.189
885,'000025',特 力Ａ,3085.848,15.394,0.0151,3.027,0.005,0.0208,1.898,0.119,76.336,-27.06,1.79,24.954,3.021,117881,12703,26665,89986,56419,618,-9906,-9342,8115,1905,388,390,449,3543,29728,22028,19388,48.164,204.447,23.82,48.528,23047688,-2.523,1.083,47.532,41.667,425885.531,1.593,-4.62,16.87,920.497,2.248,-0.0762,0.496,2.3925,4638539,0.0721,0.5756,2.0589,3991788,-0.031
1435,'002198',嘉应制药,839.302,6.608,0.0154,1.956,0.0079,-0.03,0.243,0.659,91.378,1.64,6.89,69.488,1.955,108638,25820,9367,99271,12341,-1525,-260,-1815,7846,5282,1040,1039,784,33457,50751,46532,46532,13.267,35.027,24.583,13.569,31696576,-0.824,-0.169,13.098,8.333,-107888.211,-0.769,-0.66,1.954,1267.737,7.209,-0.0856,0.1445,0.5092,2369652,-0.0454,0.1508,0.3518,1637007,-0.098
2155,'300205',天喻信息,638.205,3.82,0.0155,2.56,0.006,-0.595,0.962,0.458,66.387,-11.55,36.59,22.416,2.531,167765,20964,57389,111374,41384,-25605,-359,-34236,51607,11127,507,672,667,20974,43006,42552,42552,10.336,113.864,22.416,10.57,32656698,-1.107,-0.153,9.94,50,280935,-1.249,-1.02,19.63,1306.73,2.209,-0.3178,0.3855,0.9346,3976993,-0.2323,0.3115,0.7701,3277100,-0.289
